epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.1935025155544281,0.10728953033685684,0.7221770882606506,1e-04,0.2913241684436798,0.7570591568946838,0.1584170013666153,0.08605307340621948,0.8419596552848816,0.20844866335391998,0.8300222754478455
1,0.2390824258327484,0.13589078187942505,0.5017863512039185,1e-04,0.5474316477775574,0.5046011209487915,0.15231823921203613,0.08246376365423203,0.6245080828666687,0.14054447412490845,0.1900436133146286
2,0.27659928798675537,0.16062764823436737,0.3865724802017212,1e-04,0.7555444836616516,0.3998687267303467,0.1491047739982605,0.0805824026465416,0.5029956102371216,0.15072943270206451,0.05177886039018631
3,0.31201738119125366,0.18497774004936218,0.32106831669807434,1e-04,0.8509886860847473,0.3761502802371979,0.15135809779167175,0.08190073072910309,0.4719109535217285,0.30139005184173584,0.048494163900613785
4,0.34024789929389954,0.20513248443603516,0.28147512674331665,1e-04,0.8867485523223877,0.36766767501831055,0.15494593977928162,0.08400533348321915,0.46197766065597534,0.39473971724510193,0.05478721857070923
5,0.3612951636314392,0.22062213718891144,0.2573467195034027,1e-04,0.9052719473838806,0.3651185631752014,0.1790749728679657,0.09837887436151505,0.5620812177658081,0.4207454323768616,0.23820331692695618
6,0.3788471221923828,0.23382779955863953,0.24102886021137238,1e-04,0.9158602952957153,0.36636513471603394,0.16260211169719696,0.08852527290582657,0.46632084250450134,0.6093777418136597,0.07166319340467453
7,0.39283081889152527,0.2445707619190216,0.22827251255512238,1e-04,0.9236968755722046,0.3661227822303772,0.16674843430519104,0.09099005162715912,0.4119609296321869,0.7328274250030518,0.05855124816298485
8,0.39947229623794556,0.2497541457414627,0.2231467068195343,1e-04,0.9259920120239258,0.36822760105133057,0.17381469905376434,0.09521675109863281,0.5267877578735352,0.5361658334732056,0.07785698026418686
9,0.4068966805934906,0.2555423676967621,0.21774108707904816,1e-04,0.9273562431335449,0.36966049671173096,0.159664124250412,0.08678575605154037,0.4382496476173401,0.5027756094932556,0.03612357750535011
10,0.41564273834228516,0.26248258352279663,0.21103540062904358,1e-04,0.9311915636062622,0.37092265486717224,0.16906782984733582,0.09237447381019592,0.38701122999191284,0.6590982675552368,0.04197664558887482
11,0.422664076089859,0.2680964171886444,0.20490097999572754,1e-04,0.9363995790481567,0.3691721558570862,0.18654951453208923,0.10291782766580582,0.3575419783592224,0.8809604048728943,0.06565899401903152
12,0.4289790093898773,0.2731918692588806,0.19938775897026062,1e-04,0.941889762878418,0.36734914779663086,0.21111957728862762,0.11808635294437408,0.33619779348373413,0.9492725729942322,0.10439208149909973
13,0.43536847829818726,0.2783934473991394,0.19505885243415833,1e-04,0.9429943561553955,0.3708675801753998,0.2154575139284134,0.12080670893192291,0.3212170898914337,0.9894388318061829,0.10204638540744781
